,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost
1,3,61,LED-213-S00-30,BEVELED BASIC,$11.70,$13.61,$830.15
2,2,19,LED-203-40,NANO/MINI,$11.70,$12.56,$238.66
3,1,16,LED-203-27-HI,NANO/MINI,$11.70,$12.39,$198.20
4,1,16,LED-273-S00-RGB30,BEVELED 2.1,$44.00,$45.91,$734.54
5,1,13,LED-204-S00-2722,BEVELED WGD,$14.42,$15.05,$195.59
6,1,12,LED-240-S00-35,BEVELED 2.1,$13.80,$15.71,$188.51
7,2,9,LED-203-35,NANO/MINI,$11.70,$12.56,$113.05
8,2,6,LED-203-30,NANO/MINI,$11.70,$12.56,$75.37
9,1,6,LED-313-H00-3022,BEVELED MINI WGD,$25.30,$25.93,$155.55
10,1,5,LED-203-27,NANO/MINI,$11.70,$12.56,$62.81
11,2,5,LED-402-H01-27,NA,$6.91,$18.84,$94.20
12,1,3,LED-240-H00-30,BEVELED 2.1,$13.80,$15.71,$47.13
13,2,3,LED-319-S00-35,BEVELED MINI,$10.25,$11.61,$34.84
14,1,2,LED-307-S00-27,BEVELED PRIMARY,$2.84,$4.13,$8.27
15,1,2,LED-402-H01-30,NA,$6.91,$18.78,$37.56
