,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost
1,1,16,LED-273-S00-RGB30,BEVELED 2.1,$44.00,$45.91,$734.54
2,1,13,LED-204-S00-2722,BEVELED WGD,$14.42,$15.05,$195.59
3,1,12,LED-240-S00-35,BEVELED 2.1,$13.80,$15.71,$188.51
4,1,6,LED-313-H00-3022,BEVELED MINI WGD,$25.30,$25.93,$155.55
5,2,5,LED-402-H01-27,NA,$6.91,$18.84,$94.20
6,1,3,LED-240-H00-30,BEVELED 2.1,$13.80,$15.71,$47.13
7,2,3,LED-319-S00-35,BEVELED MINI,$10.25,$11.61,$34.84
8,1,2,LED-307-S00-27,BEVELED PRIMARY,$2.84,$4.13,$8.27
9,1,2,LED-402-H01-30,NA,$6.91,$18.78,$37.56
10,1,1,LED-240-H00-27,BEVELED 2.1,$13.80,$15.71,$15.71
11,1,1,LED-240-S00-27,BEVELED 2.1,$13.80,$15.71,$15.71
12,1,1,LED-240-S00-30,BEVELED 2.1,$13.80,$15.71,$15.71
13,1,1,LED-281-H00-3022,SLIVERLED WGD,$11.85,$13.37,$13.37
14,1,1,LED-307-H00-27,BEVELED PRIMARY,$2.84,$4.16,$4.16
15,1,1,LED-307-H00-30,BEVELED PRIMARY,$2.84,$4.13,$4.13
