"","E2","Month","Qty","# of RMAs"
"1","E2-283","January",2,1
"2","E2-283","March",13,3
"3","E2-389","February",3,2
"4","E2-389","January",2,1
"5","E2-404","February",12,3
"6","E2-404","January",86,4
"7","E2-404","March",30,3
"8","E2-405","January",18,1
"9","E2-409","January",1,1
"10","E2-417","January",3,1
"11","E2-468","February",2,2
"12","E2-468","January",4,1
"13","E2-486","January",2,2
"14","E2-491","January",10,1
"15","E2-520","February",2,2
"16","E2-520","January",1,1
"17","E2-526","February",188,5
"18","E2-526","January",77,7
"19","E2-526","March",367,8
"20","E2-527","February",2,1
"21","E2-527","January",53,2
"22","E2-527","March",33,5
"23","E2-610","January",3,1
"24","E2-610","March",3,3
"25","E2-622","January",8,1
"26","E2-676","January",1,1
"27","E2-696","January",1,1
"28","E2-698","January",2,1
"29","E2-721","February",9,3
"30","E2-721","January",9,3
"31","E2-721","March",1,1
"32","E2-739","February",1,1
"33","E2-739","January",2,1
"34","E2-786","January",2,1
"35","E2-786","March",2,1
"36","E2-801","January",1,1
"37","E2-877","February",10,3
"38","E2-877","January",8,3
"39","E2-877","March",51,6
"40","E2-887","February",2,1
"41","E2-887","January",5,3
"42","E2-887","March",18,7
"43","E2-890","January",1,1
"44","E2-901","January",3,2
"45","E2-906","February",11,5
"46","E2-906","January",16,4
"47","E2-906","March",24,7
"48","E2-907","February",1,1
"49","E2-907","January",4,1
"50","E2-983","February",11,3
"51","E2-983","January",3,1
"52","E2-983","March",10,1
"53","E2-1013","February",4,1
"54","E2-1013","March",1,1
"55","E2-388","February",6,4
"56","E2-402","February",1,1
"57","E2-454","February",4,1
"58","E2-455","February",1,1
"59","E2-488","February",2,1
"60","E2-490","February",2,1
"61","E2-652","February",1,1
"62","E2-702","February",1,1
"63","E2-707","February",2,1
"64","E2-707","March",3,2
"65","E2-732","February",8,1
"66","E2-765","February",2,1
"67","E2-783","February",2,2
"68","E2-783","March",1,1
"69","E2-908","February",1,1
"70","E2-909","February",7,2
"71","E2-419","March",5,1
"72","E2-469","March",13,2
"73","E2-493","March",4,1
"74","E2-533","March",1,1
"75","E2-573","March",10,1
"76","E2-618","March",1,1
"77","E2-701","March",1,1
"78","E2-708","March",1,1
"79","E2-774","March",1,1
"80","E2-804","March",6,1
"81","E2-988","March",4,1
"82","E2-989","March",4,1
