"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","LEM_Price","CostToReturn"
"1",6,71,"LED-240-S00-35","BEVELED 2.1",979.8,1115.339,2840,1724.661
"2",7,52,"LED-240-S00-30","BEVELED 2.1",717.6,816.868,2080,1263.132
"3",3,44,"LED-203-27","NANO/MINI",514.8,552.6928,1320,767.3072
"4",3,30,"LED-307-S00-30","BEVELED PRIMARY",85.068,123.981,600,476.019
"5",2,28,"LED-203-40","NANO/MINI",327.6,351.7136,840,488.2864
"6",1,25,"LED-307-S00-40","BEVELED PRIMARY",70.89,103.3175,500,396.6825
"7",3,23,"LED-203-35","NANO/MINI",269.1,288.9076,690,401.0924
"8",2,18,"LED-219-S00-6022","BEVELED COLOR SELECT",361.8,373.05,1080,706.95
"9",2,16,"LED-240-H00-30","BEVELED 2.1",220.8,251.344,720,468.656
"10",1,15,"LED-198-H70-3022","BEVELED 2.0 WGD",464.7,493.335,1125,631.665
"11",1,14,"LED-203-30","NANO/MINI",163.8,175.8568,420,244.1432
"12",5,14,"LED-213-S00-30","BEVELED BASIC",163.8,190.526,420,229.474
"13",2,11,"LED-326-S00-30","BEVELED 2.2",108.9,129.899,385,255.101
"14",1,10,"LED-213-S00-27","BEVELED BASIC",117,136.09,300,163.91
"15",2,10,"LED-307-S00-35","BEVELED PRIMARY",28.356,41.327,200,158.673
"16",1,9,"LED-204-S00-2722","BEVELED WGD",129.78,135.405,360,224.595
"17",3,8,"LED-240-S00-27","BEVELED 2.1",110.4,125.672,320,194.328
"18",2,7,"LED-213-S00-35","BEVELED BASIC",81.9,95.263,210,114.737
"19",1,6,"LED-203-27-HI","NANO/MINI",70.2,74.3244,210,135.6756
"20",2,5,"LED-313-H00-2722","BEVELED MINI WGD",126.5,129.625,325,195.375
"21",3,4,"LED-319-S00-30","BEVELED MINI",41,46.4556,140,93.5444
"22",2,3,"LED-326-S00-35","BEVELED 2.2",29.7,35.427,105,69.573
"23",1,2,"LED-204-H00-3022","BEVELED WGD",28.86,30.4576,90,59.5424
"24",2,2,"LED-273-S00-RGB30","BEVELED 2.1",88,91.818,180,88.182
"25",1,1,"LED-203-30-HI","NANO/MINI",11.7,12.3874,35,22.6126
"26",1,1,"LED-274-S00-30","SLIVERLED",10.82,12.3426,30,17.6574
"27",1,1,"LED-281-H00-3022","SLIVERLED WGD",11.85,13.3726,35,21.6274
"28",1,1,"LED-293-S00-35","BEVELED 2.1",23.95,25.859,65,39.141
"29",1,1,"LED-293-S00-40","BEVELED 2.1",23.95,25.859,65,39.141
"30",1,1,"LED-307-H00-27","BEVELED PRIMARY",2.8356,4.1644,25,20.8356
"31",1,1,"LED-313-S00-3022","BEVELED MINI WGD",25.3,25.925,60,34.075
"32",1,1,"LED-319-S00-35","BEVELED MINI",10.25,11.6139,35,23.3861
"33",1,1,"LED-336-S00-RGB30","BEVELED MINI",29.85,30.475,35,4.525
"34",1,1,"LED-401-H00-3018",NA,4.743,6.0401,20,13.9599
