"","LED","Month","Qty","RMAs"
"1","LED-203-27-HI","February",1,1
"2","LED-203-27-HI","January",36,3
"3","LED-203-27-HI","March",6,1
"4","LED-203-30","February",39,5
"5","LED-203-30","January",14,5
"6","LED-203-30","March",14,1
"7","LED-203-30-HI","February",4,1
"8","LED-203-30-HI","January",3,1
"9","LED-203-30-HI","March",1,1
"10","LED-203-35","February",1,1
"11","LED-203-35","January",62,3
"12","LED-203-35","March",23,3
"13","LED-203-40","February",6,1
"14","LED-203-40","January",14,2
"15","LED-203-40","March",28,2
"16","LED-204-H00-3022","January",3,1
"17","LED-204-H00-3022","March",2,1
"18","LED-204-S00-2722","January",10,1
"19","LED-204-S00-2722","March",9,1
"20","LED-212-S00-6022","February",1,1
"21","LED-212-S00-6022","January",4,2
"22","LED-213-S00-35","February",1,1
"23","LED-213-S00-35","January",2,2
"24","LED-213-S00-35","March",7,2
"25","LED-230-H02-27","January",17,1
"26","LED-239-S00-30","January",1,1
"27","LED-240-H00-27","February",2,2
"28","LED-240-H00-27","January",4,2
"29","LED-240-H01-40","January",1,1
"30","LED-240-S00-27","January",11,2
"31","LED-240-S00-27","March",8,3
"32","LED-240-S00-30","February",5,2
"33","LED-240-S00-30","January",9,3
"34","LED-240-S00-30","March",52,7
"35","LED-240-S00-35","February",28,2
"36","LED-240-S00-35","January",12,3
"37","LED-240-S00-35","March",71,6
"38","LED-240-S00-40","February",25,3
"39","LED-240-S00-40","January",7,2
"40","LED-273-S00-RGB30","February",1,1
"41","LED-273-S00-RGB30","January",8,1
"42","LED-273-S00-RGB30","March",2,2
"43","LED-307-H00-30","January",2,1
"44","LED-307-S00-30","February",2,1
"45","LED-307-S00-30","January",28,4
"46","LED-307-S00-30","March",30,3
"47","LED-307-S00-35","February",1,1
"48","LED-307-S00-35","January",1,1
"49","LED-307-S00-35","March",10,2
"50","LED-313-H00-3022","January",2,1
"51","LED-319-S00-30","January",1,1
"52","LED-319-S00-30","March",4,3
"53","LED-326-S00-30","February",16,2
"54","LED-326-S00-30","January",27,2
"55","LED-326-S00-30","March",11,2
"56","LED-397-S00-6022","January",1,1
"57","LED-213-S00-30","February",4,2
"58","LED-213-S00-30","March",14,5
"59","LED-218-S00-27","February",1,1
"60","LED-230-S02-30","February",30,1
"61","LED-240-H01-35","February",1,1
"62","LED-275-S70-3022","February",1,1
"63","LED-293-H00-27","February",1,1
"64","LED-313-S00-3022","February",1,1
"65","LED-313-S00-3022","March",1,1
"66","LED-319-H00-27","February",6,1
"67","LED-319-H00-30","February",10,1
"68","LED-319-S00-35","February",9,3
"69","LED-319-S00-35","March",1,1
"70","LED-326-H00-30","February",1,1
"71","LED-198-H70-3022","March",15,1
"72","LED-203-27","March",44,3
"73","LED-213-S00-27","March",10,1
"74","LED-219-S00-6022","March",18,2
"75","LED-240-H00-30","March",16,2
"76","LED-274-S00-30","March",1,1
"77","LED-281-H00-3022","March",1,1
"78","LED-293-S00-35","March",1,1
"79","LED-293-S00-40","March",1,1
"80","LED-307-H00-27","March",1,1
"81","LED-307-S00-40","March",25,1
"82","LED-313-H00-2722","March",5,2
"83","LED-326-S00-35","March",3,2
"84","LED-336-S00-RGB30","March",1,1
"85","LED-401-H00-3018","March",1,1
