,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost
1,1,23,E2-526,2,$15.72 ,$25.81 ,$593.63 
2,1,15,E2-527,2,$14.31 ,$20.65 ,$309.75 
3,1,15,E2-569,6B,$85.28 ,$93.85 ,"$1,407.75 "
4,1,14,E2-983,22,$11.19 ,$19.64 ,$274.96 
5,1,12,E2-909,6F,$15.75 ,$28.92 ,$347.04 
6,2,10,E2-887,22,$12.19 ,$20.64 ,$206.40 
7,1,8,E2-404,2,$12.30 ,$17.95 ,$143.60 
8,2,8,E2-908,6E,$13.25 ,$24.52 ,$196.16 
9,1,6,E2-783,6E,$15.00 ,$37.13 ,$222.78 
10,3,6,E2-877,22,$11.99 ,$20.43 ,$122.58 
11,1,6,E2-907,6E,$13.25 ,$23.35 ,$140.10 
12,2,5,E2-527,2,$14.31 ,$20.57 ,$102.85 
13,1,4,E2-284,2,$23.46 ,$31.47 ,$125.88 
14,1,4,E2-526,2,$15.72 ,$21.37 ,$85.48 
15,1,4,E2-926,4P,$51.00 ,$60.84 ,$243.36 
16,1,3,E2-454,3,$45.39 ,$49.96 ,$149.89 
17,1,3,E2-703,6E,$13.25 ,$22.82 ,$68.46 
18,2,2,E2-283,2,$14.57 ,$24.50 ,$49.00 
19,2,2,E2-388,2,$12.67 ,$22.60 ,$45.20 
20,2,2,E2-526,2,$15.72 ,$28.60 ,$57.20 
21,1,2,E2-877,22,$11.99 ,$15.92 ,$31.84 
22,1,2,E2-877,22,$11.99 ,$22.16 ,$44.32 
23,1,2,E2-906,6E,$13.25 ,$23.01 ,$46.02 
24,1,2,E2-909,6E,$15.75 ,$25.67 ,$51.34 
25,1,1,E2-283,2,$14.57 ,$28.69 ,$28.69 
26,1,1,E2-389,2,$14.21 ,$17.98 ,$17.98 
27,1,1,E2-404,2,$12.30 ,$22.24 ,$22.24 
28,1,1,E2-679,6A,$25.00 ,$76.33 ,$76.33 
29,1,1,E2-701,6E,$13.25 ,$24.41 ,$24.41 
30,1,1,E2-703,6E,$13.25 ,$21.39 ,$21.39 
31,1,1,E2-721,19,$18.01 ,$27.29 ,$27.29 
32,1,1,E2-887,22,$12.19 ,$22.41 ,$22.41 
33,1,1,E2-894,4H,$51.00 ,$61.91 ,$61.91 
34,1,1,E2-906,6E,$13.25 ,$23.08 ,$23.08 
35,1,1,E2-906,6E,$13.25 ,$23.43 ,$23.43 
36,1,1,E2-906,6E,$13.25 ,$23.49 ,$23.49 
37,1,1,E2-906,6E,$13.25 ,$23.83 ,$23.83 
38,1,1,E2-907,6E,$13.25 ,$23.01 ,$23.01 
39,1,1,E2-907,6E,$13.25 ,$24.04 ,$24.04 
40,1,1,E2-963,6E,$14.17 ,$21.51 ,$21.51 
41,1,1,E2-983,22,$11.19 ,$20.58 ,$20.58 
,,,,,,,
,,177,,,,"$1,188.00 ","$5,551.21 "
