,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost
1,1,23,E2-526,2,$15.72,$25.81,$593.63
2,1,15,E2-527,2,$14.31,$20.65,$309.75
3,1,15,E2-569,6B,$85.28,$93.85,"$1,407.75"
4,1,14,E2-983,22,$11.19,$19.64,$274.96
5,1,12,E2-909,6F,$15.75,$28.92,$347.04
6,2,10,E2-887,22,$12.19,$20.64,$206.40
7,1,8,E2-404,2,$12.30,$17.95,$143.60
8,2,8,E2-908,6E,$13.25,$24.52,$196.16
9,1,6,E2-783,6E,$15.00,$37.13,$222.78
10,3,6,E2-877,22,$11.99,$20.43,$122.58
11,1,6,E2-907,6E,$13.25,$23.35,$140.10
12,2,5,E2-527,2,$14.31,$20.57,$102.85
13,1,4,E2-284,2,$23.46,$31.47,$125.88
14,1,4,E2-526,2,$15.72,$21.37,$85.48
15,1,4,E2-926,4P,$51.00,$60.84,$243.36
