,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost
1,1,15,E2-569,6B,$85.28,$93.85,"$1,407.75"
2,1,14,E2-983,22,$11.19,$19.64,$274.96
3,1,12,E2-909,6F,$15.75,$28.92,$347.04
4,2,10,E2-887,22,$12.19,$20.64,$206.40
5,1,8,E2-404,2,$12.30,$17.95,$143.60
6,2,8,E2-908,6E,$13.25,$24.52,$196.16
7,1,6,E2-783,6E,$15.00,$37.13,$222.78
8,3,6,E2-877,22,$11.99,$20.43,$122.58
9,1,6,E2-907,6E,$13.25,$23.35,$140.10
10,1,4,E2-284,2,$23.46,$31.47,$125.88
11,1,4,E2-926,4P,$51.00,$60.84,$243.36
12,1,3,E2-454,3,$45.39,$49.96,$149.89
13,1,3,E2-703,6E,$13.25,$22.82,$68.46
14,2,2,E2-283,2,$14.57,$24.50,$49.00
15,2,2,E2-388,2,$12.67,$22.60,$45.20
