,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost
1,4,64,LED-240-S00-35,BEVELED 2.1,$13.80 ,$15.71 ,"$1,005.38 "
2,1,50,LED-203-30,NANO/MINI,$11.70 ,$12.56 ,$628.06 
3,1,36,LED-240-S00-40,BEVELED 2.1,$13.80 ,$15.71 ,$565.52 
4,1,31,LED-222-S00-35,BEVELED 2.0,$28.24 ,$30.43 ,$943.33 
5,2,26,LED-203-35,NANO/MINI,$11.70 ,$12.56 ,$326.59 
6,1,26,LED-240-H00-27,BEVELED 2.1,$13.80 ,$15.71 ,$408.43 
7,2,21,LED-212-S00-6022,BEVELED 2.1,$21.50 ,$23.41 ,$491.59 
8,1,20,LED-273-S00-RGB30,BEVELED 2.1,$44.00 ,$45.91 ,$918.18 
9,2,18,LED-240-H00-30,BEVELED 2.1,$13.80 ,$15.71 ,$282.76 
10,4,16,LED-319-H00-30,BEVELED MINI,$10.55 ,$11.61 ,$185.82 
11,1,15,LED-218-S00-30,BEVELED,$39.85 ,$42.35 ,$635.24 
12,2,14,LED-313-S00-3022,BEVELED MINI WGD,$25.30 ,$25.93 ,$362.95 
13,1,14,LED-319-S00-30,BEVELED MINI,$10.25 ,$11.61 ,$162.59 
14,1,7,LED-222-H00-30,BEVELED 2.0,$28.24 ,$30.43 ,$213.01 
15,2,5,LED-240-S00-30,BEVELED 2.1,$13.80 ,$15.71 ,$78.55 
16,1,5,LED-319-S01-27,BEVELED MINI,$9.93 ,$11.30 ,$56.51 
17,1,3,LED-203-30-HI,NANO/MINI,$11.70 ,$12.39 ,$37.16 
18,2,3,LED-326-S00-35,BEVELED 2.2,$9.90 ,$11.81 ,$35.43 
19,1,2,LED-307-S00-30,BEVELED PRIMARY,$2.84 ,$4.13 ,$8.27 
20,1,2,LED-326-S00-30,BEVELED 2.2,$9.90 ,$11.81 ,$23.62 
21,1,1,LED-240-H01-40,BEVELED 2.1,$13.80 ,$15.71 ,$15.71 
22,1,1,LED-307-H00-40,BEVELED PRIMARY,$2.84 ,$4.15 ,$4.15 
23,1,1,LED-319-S00-35,BEVELED MINI,$10.25 ,$11.61 ,$11.61 
24,1,1,LED-319-U00-30,BEVELED MINI,$10.55 ,$11.91 ,$11.91 
,,,,,,,
,,382,,,,,"$7,412.37 "
