,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost
1,4,64,LED-240-S00-35,BEVELED 2.1,$13.80,$15.71,"$1,005.38"
2,1,36,LED-240-S00-40,BEVELED 2.1,$13.80,$15.71,$565.52
3,1,31,LED-222-S00-35,BEVELED 2.0,$28.24,$30.43,$943.33
4,1,26,LED-240-H00-27,BEVELED 2.1,$13.80,$15.71,$408.43
5,2,21,LED-212-S00-6022,BEVELED 2.1,$21.50,$23.41,$491.59
6,1,20,LED-273-S00-RGB30,BEVELED 2.1,$44.00,$45.91,$918.18
7,2,18,LED-240-H00-30,BEVELED 2.1,$13.80,$15.71,$282.76
8,4,16,LED-319-H00-30,BEVELED MINI,$10.55,$11.61,$185.82
9,1,15,LED-218-S00-30,BEVELED,$39.85,$42.35,$635.24
10,2,14,LED-313-S00-3022,BEVELED MINI WGD,$25.30,$25.93,$362.95
11,1,14,LED-319-S00-30,BEVELED MINI,$10.25,$11.61,$162.59
12,1,7,LED-222-H00-30,BEVELED 2.0,$28.24,$30.43,$213.01
13,2,5,LED-240-S00-30,BEVELED 2.1,$13.80,$15.71,$78.55
14,1,5,LED-319-S01-27,BEVELED MINI,$9.93,$11.30,$56.51
15,2,3,LED-326-S00-35,BEVELED 2.2,$9.90,$11.81,$35.43
