"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","SP_Price"
"1",1,33,"E2-733","6F","16.5","30.11","64"
"2",1,24,"E2-389","2","14.21","23.27","53"
"3",2,13,"E2-1013","23X1","40","61.94","133"
"4",2,12,"E2-526","3","15.7182","58.2869","115.0000"
"5",4,11,"E2-404","2","12.3","17.95","38"
"6",1,7,"E2-1013","23X1","40","53.94","112"
"7",4,7,"E2-526","2","15.72","21.37","46"
"8",1,6,"E2-527","2","14.31","20.57","43"
"9",1,6,"E2-610","23X1","40","51.44","112"
"10",1,5,"E2-389","2","14.21","28.82","66"
"11",1,5,"E2-877","22","11.99","20.43","40"
"12",1,4,"E2-405","9","18.55","26.88","57"
"13",1,4,"E2-527","2","14.31","18.08","38"
"14",2,4,"E2-877","22","11.99","22.11","42"
"15",1,3,"E2-702","6E","13.2500","40.0916","80.0000"
"16",2,3,"E2-707","2","14.5554","25.4195","55"
"17",1,2,"E2-388","2","12.67","22.6","45"
"18",1,2,"E2-404","2","12.3","18.11","37"
"19",1,2,"E2-454","3","45.3900","49.1597","106.0000"
"20",1,2,"E2-527","2","14.31","23.09","54"
"21",1,2,"E2-707","2","14.56","26.41","50"
"22",1,2,"E2-735","19","18.9618","23.2415","52.0000"
"23",1,2,"E2-901","6A","23","32.69","70"
"24",1,2,"E2-907","6E","13.25","24.04","48"
"25",1,1,"E2-486","3","45.39","67.89","150"
"26",1,1,"E2-526","2","15.72","28.6","52"
"27",1,1,"E2-552","2","17.6460","26.7343","55.0000"
"28",1,1,"E2-552","2","17.6460","26.7962","47.0000"
"29",1,1,"E2-610","1M","40.0000","47.4001","103.0000"
"30",1,1,"E2-696","4H","$45.39 ","$54.97 ","$118.00 "
"31",1,1,"E2-701","6E","13.25","21.3812","45"
"32",1,1,"E2-709","6F","13.2500","22.9029","45.0000"
"33",1,1,"E2-838","21","6.32","16.19","32"
"34",1,1,"E2-877","22","11.99","22.16","48"
"35",1,1,"E2-887","22","12.19","20.64","39"
"36",1,1,"E2-906","6E","13.25","23.43","42"
"37",1,1,"E2-906","6F","13.2500","23.3108","50.0000"
