,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost
1,1,338,E2-526,2,$15.72,$24.78,"$8,375.64"
2,1,239,E2-526,2,$15.72,$25.81,"$6,168.59"
3,1,13,E2-877,22,$11.99,$22.16,$288.08
4,4,12,E2-906,6E,$13.25,$23.49,$281.88
5,4,10,E2-887,22,$12.19,$20.64,$206.40
6,1,10,E2-887,22,$12.19,$22.41,$224.10
7,1,5,E2-283,2,$14.57,$21.14,$105.70
8,1,5,E2-454,3,$45.39,$51.68,$258.40
9,1,5,E2-454,3,$45.39,$51.85,$259.25
10,1,5,E2-468,3,$45.39,$51.85,$259.25
11,1,5,E2-721,19,$18.96,$25.27,$126.35
12,1,5,E2-885,4E,$35.19,$40.82,$204.10
13,1,5,E2-891,4E,$35.19,$42.30,$211.50
14,2,5,E2-906,6E,$13.25,$24.04,$120.20
15,1,5,E2-906,6F,$13.25,$23.49,$117.45
