,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost
1,1,13,E2-877,22,$11.99,$22.16,$288.08
2,4,12,E2-906,6E,$13.25,$23.49,$281.88
3,4,10,E2-887,22,$12.19,$20.64,$206.40
4,1,10,E2-887,22,$12.19,$22.41,$224.10
5,1,5,E2-283,2,$14.57,$21.14,$105.70
6,1,5,E2-454,3,$45.39,$51.68,$258.40
7,1,5,E2-454,3,$45.39,$51.85,$259.25
8,1,5,E2-468,3,$45.39,$51.85,$259.25
9,1,5,E2-721,19,$18.96,$25.27,$126.35
10,1,5,E2-885,4E,$35.19,$40.82,$204.10
11,1,5,E2-891,4E,$35.19,$42.30,$211.50
12,2,5,E2-906,6E,$13.25,$24.04,$120.20
13,1,5,E2-906,6F,$13.25,$23.49,$117.45
14,3,4,E2-404,2,$12.30,$17.95,$71.80
15,1,4,E2-736,6E,$15.75,$59.12,$236.47
