,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost,,,,,
1,1,13,LED-307-H00-30,BEVELED PRIMARY,2.8356,4.1327,$53.73 ,,,,,
2,1,13,LED-307-S00-27,BEVELED PRIMARY,2.8356,4.1327,$53.73 ,,,,,
3,1,11,LED-213-S00-40,BEVELED BASIC,11.7,13.609,$149.70 ,,,,,
4,1,10,LED-204-S00-3022,BEVELED WGD,14.43,15.1467,$151.47 ,,,,,
5,2,9,LED-240-H01-35,BEVELED 2.1,13.8,15.709,$141.38 ,,280,"$3,988.84 ",183,"$3,004.24 "
6,1,6,LED-240-S00-35,BEVELED 2.1,13.8,15.709,$94.25 ,,198,"$3,160.05 ",425,"$6,429.41 "
7,1,5,LED-203-27-HI,NANO/MINI,11.7,12.3874,$61.94 ,,437,"$6,076.80 ",382,"$7,412.37 "
8,1,5,LED-236-S00-30,BEVELED,41.09,41.8081,$209.04 ,,302,"$3,788.79 ",139,"$1,909.96 "
9,2,4,LED-213-S00-35,BEVELED BASIC,11.7,13.609,$54.44 ,,188,"$2,416.49 ",113,"$1,540.70 "
10,2,4,LED-319-S00-35,BEVELED MINI,10.25,11.6139,$46.46 ,,3229,"$42,216.63 ",,
11,1,3,LED-203-27,NANO/MINI,11.7,12.5612,$37.68 ,,334,"$4,489.06 ",,
12,1,3,LED-275-H35-3022,BEVELED 2.2,27.2,29.109,$87.33 ,,217,"$3,061.25 ",,
13,1,3,LED-307-H00-27,BEVELED PRIMARY,2.8356,4.1644,$12.49 ,,310,"$4,639.89 ",,
14,3,3,LED-307-S00-35,BEVELED PRIMARY,2.8356,4.1327,$12.40 ,,287,"$3,965.04 ",,
15,1,3,LED-336-S00-RGB30,BEVELED MINI,29.85,30.475,$91.43 ,,175,"$2,355.76 ",,
16,1,2,LED-203-35,NANO/MINI,11.7,12.5612,$25.12 ,,385,"$5,321.79 ",,
17,1,2,LED-240-S00-27,BEVELED 2.1,13.8,15.709,$31.42 ,,"6,342","$85,480.39 ","1,242","$20,296.68 "
18,2,2,LED-240-S00-30,BEVELED 2.1,13.8,15.709,$31.42 ,,,,,
19,2,2,LED-313-H00-3022,BEVELED MINI WGD,25.3,25.925,$51.85 ,,,,,
20,1,2,LED-326-S00-35,BEVELED 2.2,9.9,11.809,$23.62 ,,,,,
21,1,1,LED-204-H00-3022,BEVELED WGD,14.43,15.2288,$15.23 ,,,,,
22,1,1,LED-239-S00-30,BEVELED 2.2,13.8,15.6265,$15.63 ,,,,,
23,1,1,LED-240-H00-30,BEVELED 2.1,13.8,15.709,$15.71 ,,,,,
24,1,1,LED-274-H00-30,SLIVERLED,10.82,12.3426,$12.34 ,,,,,
25,1,1,LED-293-S00-30,BEVELED 2.1,23.95,25.859,$25.86 ,,,,,
26,1,1,LED-319-H00-27,BEVELED MINI,10.25,11.6138,$11.61 ,,,,,
27,1,1,LED-319-H00-30,BEVELED MINI,10.55,11.6139,$11.61 ,,,,,
28,1,1,LED-326-S00-30,BEVELED 2.2,9.9,11.809,$11.81 ,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,113,,,"$1,540.70 ",
