,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost
1,1,13,LED-307-H00-30,BEVELED PRIMARY,$2.84,$4.13,$53.73
2,1,13,LED-307-S00-27,BEVELED PRIMARY,$2.84,$4.13,$53.73
3,1,11,LED-213-S00-40,BEVELED BASIC,$11.70,$13.61,$149.70
4,1,10,LED-204-S00-3022,BEVELED WGD,$14.43,$15.15,$151.47
5,2,9,LED-240-H01-35,BEVELED 2.1,$13.80,$15.71,$141.38
6,1,6,LED-240-S00-35,BEVELED 2.1,$13.80,$15.71,$94.25
7,1,5,LED-203-27-HI,NANO/MINI,$11.70,$12.39,$61.94
8,1,5,LED-236-S00-30,BEVELED,$41.09,$41.81,$209.04
9,2,4,LED-213-S00-35,BEVELED BASIC,$11.70,$13.61,$54.44
10,2,4,LED-319-S00-35,BEVELED MINI,$10.25,$11.61,$46.46
11,1,3,LED-203-27,NANO/MINI,$11.70,$12.56,$37.68
12,1,3,LED-275-H35-3022,BEVELED 2.2,$27.20,$29.11,$87.33
13,1,3,LED-307-H00-27,BEVELED PRIMARY,$2.84,$4.16,$12.49
14,3,3,LED-307-S00-35,BEVELED PRIMARY,$2.84,$4.13,$12.40
15,1,3,LED-336-S00-RGB30,BEVELED MINI,$29.85,$30.48,$91.43
