,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost
1,1,13,LED-307-H00-30,BEVELED PRIMARY,$2.84,$4.13,$53.73
2,1,13,LED-307-S00-27,BEVELED PRIMARY,$2.84,$4.13,$53.73
3,1,10,LED-204-S00-3022,BEVELED WGD,$14.43,$15.15,$151.47
4,2,9,LED-240-H01-35,BEVELED 2.1,$13.80,$15.71,$141.38
5,1,6,LED-240-S00-35,BEVELED 2.1,$13.80,$15.71,$94.25
6,1,5,LED-236-S00-30,BEVELED,$41.09,$41.81,$209.04
7,2,4,LED-319-S00-35,BEVELED MINI,$10.25,$11.61,$46.46
8,1,3,LED-275-H35-3022,BEVELED 2.2,$27.20,$29.11,$87.33
9,1,3,LED-307-H00-27,BEVELED PRIMARY,$2.84,$4.16,$12.49
10,3,3,LED-307-S00-35,BEVELED PRIMARY,$2.84,$4.13,$12.40
11,1,3,LED-336-S00-RGB30,BEVELED MINI,$29.85,$30.48,$91.43
12,1,2,LED-240-S00-27,BEVELED 2.1,$13.80,$15.71,$31.42
13,2,2,LED-240-S00-30,BEVELED 2.1,$13.80,$15.71,$31.42
14,2,2,LED-313-H00-3022,BEVELED MINI WGD,$25.30,$25.93,$51.85
15,1,2,LED-326-S00-35,BEVELED 2.2,$9.90,$11.81,$23.62
