"","# of RMAs","Qty","E2"
"1",8,102,"E2-526"
"2",5,37,"E2-404"
"3",3,22,"E2-721"
"4",3,20,"E2-527"
"5",5,19,"E2-906"
"6",3,18,"E2-389"
"7",3,10,"E2-907"
"8",1,9,"E2-838"
"9",2,7,"E2-469"
"10",3,6,"E2-877"
"11",2,4,"E2-610"
"12",2,4,"E2-735"
"13",2,4,"E2-887"
"14",1,4,"E2-894"
"15",2,3,"E2-454"
"16",1,3,"E2-486"
"17",3,3,"E2-698"
"18",1,3,"E2-710"
"19",2,3,"E2-786"
"20",1,2,"E2-702"
"21",1,2,"E2-707"
"22",1,2,"E2-767"
"23",1,2,"E2-787"
"24",1,2,"E2-890"
"25",2,2,"E2-909"
"26",1,1,"E2-1013"
"27",1,1,"E2-409"
"28",1,1,"E2-520"
"29",1,1,"E2-531"
"30",1,1,"E2-635"
"31",1,1,"E2-733"
"32",1,1,"E2-892"
