"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",2,64,"E2-526","2",15.72,21.22,1358.08
"2",1,35,"E2-990","28",25.99,55.2171,1932.5985
"3",3,32,"E2-526","2",15.72,28.6,915.2
"4",1,20,"E2-610","1M",40,47.4,948
"5",2,15,"E2-877","22",11.99,20.43,306.45
"6",3,11,"E2-887","22",12.19,22.41,246.51
"7",1,10,"E2-527","2",14.31,18.08,180.8
"8",2,10,"E2-527","2",14.31,20.57,205.7
"9",2,9,"E2-877","22",11.99,22.16,199.44
"10",1,8,"E2-887","22",12.19,20.64,165.12
"11",1,8,"E2-906","6E",13.25,23.49,187.92
"12",2,7,"E2-610","23X1",40,51.44,360.08
"13",1,6,"E2-657","6A",25,38.9494,233.6964
"14",4,5,"E2-909","6E",15,27.13,135.65
"15",2,4,"E2-283","2",14.57,26.67,106.68
"16",1,4,"E2-707","2",14.56,25.64,102.56
"17",2,4,"E2-907","6E",13.25,24.04,96.16
"18",1,3,"E2-1013","23X1",40,53.94,161.82
"19",2,3,"E2-906","6E",13.25,22.94,68.82
"20",2,3,"E2-907","6E",13.25,23.35,70.05
"21",1,2,"E2-469","4",66.3,77.1,154.2
"22",1,2,"E2-526","2",15.72,22.36,44.72
"23",1,2,"E2-526","2",15.72,27.37,54.74
"24",1,2,"E2-526","2",17.289,26.7658,53.5316
"25",1,2,"E2-552","2",17.646,27.0041,54.0082
"26",1,2,"E2-701","6E",13.25,22.72,45.44
"27",1,2,"E2-906","6E",13.25,23.43,46.86
"28",1,1,"E2-283","2",14.57,21.14,21.14
"29",1,1,"E2-404","2",12.3,17.95,17.95
"30",1,1,"E2-454","3",45.39,54.34,54.34
"31",1,1,"E2-454","3",45.39,54.47,54.47
"32",1,1,"E2-468","3",45.39,51.7987,51.7987
"33",1,1,"E2-492","4",53.55,62.17,62.17
"34",1,1,"E2-567","2",17.72,50.99,50.99
"35",1,1,"E2-652","4H",45.39,57.52,57.52
"36",1,1,"E2-804","21",6.83,16.51,16.51
"37",1,1,"E2-906","6F",13.91,24.7,24.7
"38",1,1,"E2-907","6E",13.25,23.01,23.01
"39",1,1,"E2-909","6E",15,28.15,28.15
