# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost,,,
2,64,E2-526,2,$15.72,$21.22,"$1,358.08",,E2-526,64
1,35,E2-990,28,$25.99,$55.22,"$1,932.60",,E2-990,35
3,32,E2-526,2,$15.72,$28.60,$915.20,,E2-526,32
1,20,E2-610,1M,$40.00,$47.40,$948.00,,E2-610,20
2,15,E2-877,22,$11.99,$20.43,$306.45,,E2-877,15
3,11,E2-887,22,$12.19,$22.41,$246.51,,E2-887,11
1,10,E2-527,2,$14.31,$18.08,$180.80,,E2-527,10
2,10,E2-527,2,$14.31,$20.57,$205.70,,E2-527,10
2,9,E2-877,22,$11.99,$22.16,$199.44,,E2-877,9
1,8,E2-887,22,$12.19,$20.64,$165.12,,E2-887,8
1,8,E2-906,6E,$13.25,$23.49,$187.92,,E2-906,8
2,7,E2-610,23X1,$40.00,$51.44,$360.08,,E2-610,7
1,6,E2-657,6A,$25.00,$38.95,$233.70,,E2-657,6
4,5,E2-909,6E,$15.00,$27.13,$135.65,,E2-909,5
2,4,E2-283,2,$14.57,$26.67,$106.68,,E2-283,4
