"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","Total_cost"
"1",3,22,"LED-319-S00-35","BEVELED MINI",10.25,11.6139,255.5058
"2",1,20,"LED-203-40","NANO/MINI",11.7,12.5612,251.224
"3",2,18,"LED-203-30","NANO/MINI",11.7,12.5612,226.1016
"4",1,12,"LED-326-S00-40","BEVELED 2.2",9.9,11.7893,141.4716
"5",2,11,"LED-240-H00-30","BEVELED 2.1",13.8,15.709,172.799
"6",1,10,"LED-203-30-HI","NANO/MINI",11.7,12.3874,123.874
"7",3,9,"LED-203-35","NANO/MINI",11.7,12.5612,113.0508
"8",1,8,"LED-307-S00-27","BEVELED PRIMARY",2.8356,4.1327,33.0616
"9",1,7,"LED-204-S00-2722","BEVELED WGD",14.42,15.045,105.315
"10",1,7,"LED-219-S00-6022","BEVELED COLOR SELECT",20.1,20.725,145.075
"11",1,6,"LED-213-S00-30","BEVELED BASIC",11.7,13.609,81.654
"12",1,5,"LED-281-S00-3022","SLIVERLED WGD",11.55,13.1622,65.811
"13",1,5,"LED-307-H00-30","BEVELED PRIMARY",2.8356,4.1327,20.6635
"14",1,4,"LED-275-S70-3022","BEVELED 2.2",27.2,29.109,116.436
"15",2,3,"LED-213-S00-35","BEVELED BASIC",11.7,13.609,40.827
"16",1,3,"LED-240-S00-30","BEVELED 2.1",13.8,15.709,47.127
"17",1,3,"LED-307-S00-30","BEVELED PRIMARY",2.8356,4.1327,12.3981
"18",1,2,"LED-203-27-HI","NANO/MINI",11.7,12.3874,24.7748
"19",1,2,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,31.418
"20",1,2,"LED-240-S00-35","BEVELED 2.1",13.8,15.709,31.418
"21",1,2,"LED-274-H00-30","SLIVERLED",10.82,12.3426,24.6852
"22",1,2,"LED-274-S00-35","SLIVERLED",10.82,12.3426,24.6852
"23",1,2,"LED-293-S00-30","BEVELED 2.1",23.95,25.859,51.718
"24",1,2,"LED-319-S00-30","BEVELED MINI",10.25,11.6139,23.2278
"25",1,1,"LED-236-S00-27","BEVELED",41.09,41.821,41.821
"26",1,1,"LED-239-H01-35","BEVELED 2.2",13.8,15.7482,15.7482
"27",1,1,"LED-239-S00-40","BEVELED 2.2",13.8,15.6265,15.6265
"28",1,1,"LED-240-H00-27","BEVELED 2.1",13.8,15.709,15.709
"29",1,1,"LED-240-H01-35","BEVELED 2.1",13.8,15.709,15.709
"30",1,1,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909,45.909
"31",1,1,"LED-275-S70-2722","BEVELED 2.2",27.2,29.109,29.109
"32",1,1,"LED-326-S00-30","BEVELED 2.2",9.9,11.809,11.809
