# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost,,,
3,22,LED-319-S00-35,BEVELED MINI,$10.25,$11.61,$255.51,,LED-319-S00-35,22
1,20,LED-203-40,NANO/MINI,$11.70,$12.56,$251.22,,LED-203-40,20
2,18,LED-203-30,NANO/MINI,$11.70,$12.56,$226.10,,LED-203-30,18
1,12,LED-326-S00-40,BEVELED 2.2,$9.90,$11.79,$141.47,,LED-326-S00-40,12
2,11,LED-240-H00-30,BEVELED 2.1,$13.80,$15.71,$172.80,,LED-240-H00-30,11
1,10,LED-203-30-HI,NANO/MINI,$11.70,$12.39,$123.87,,LED-203-30-HI,10
3,9,LED-203-35,NANO/MINI,$11.70,$12.56,$113.05,,LED-203-35,9
1,8,LED-307-S00-27,BEVELED PRIMARY,$2.84,$4.13,$33.06,,LED-307-S00-27,8
1,7,LED-204-S00-2722,BEVELED WGD,$14.42,$15.05,$105.32,,LED-204-S00-2722,7
1,7,LED-219-S00-6022,BEVELED COLOR SELECT,$20.10,$20.73,$145.08,,LED-219-S00-6022,7
1,6,LED-213-S00-30,BEVELED BASIC,$11.70,$13.61,$81.65,,LED-213-S00-30,6
1,5,LED-281-S00-3022,SLIVERLED WGD,$11.55,$13.16,$65.81,,LED-281-S00-3022,5
1,5,LED-307-H00-30,BEVELED PRIMARY,$2.84,$4.13,$20.66,,LED-307-H00-30,5
1,4,LED-275-S70-3022,BEVELED 2.2,$27.20,$29.11,$116.44,,LED-275-S70-3022,4
2,3,LED-213-S00-35,BEVELED BASIC,$11.70,$13.61,$40.83,,LED-213-S00-35,3
