"","# of RMAs","Qty","E2"
"1",3,90,"E2-389"
"2",4,44,"E2-907"
"3",7,43,"E2-526"
"4",7,36,"E2-404"
"5",3,19,"E2-877"
"6",1,12,"E2-283"
"7",3,12,"E2-527"
"8",1,10,"E2-701"
"9",2,6,"E2-388"
"10",2,6,"E2-417"
"11",1,6,"E2-740"
"12",3,6,"E2-906"
"13",2,5,"E2-698"
"14",2,4,"E2-468"
"15",1,3,"E2-516"
"16",2,2,"E2-610"
"17",1,2,"E2-783"
"18",1,2,"E2-885"
"19",1,2,"E2-890"
"20",1,2,"E2-908"
"21",1,1,"E2-469"
"22",1,1,"E2-491"
"23",1,1,"E2-534"
"24",1,1,"E2-633"
"25",1,1,"E2-892"
"26",1,1,"E2-901"
"27",1,1,"E2-905"
