"","# of RMAs","Qty","LED"
"1",8,82,"LED-240-S00-35"
"2",8,27,"LED-213-S00-35"
"3",1,22,"LED-203-30-HI"
"4",2,18,"LED-203-27"
"5",1,15,"LED-213-S00-27"
"6",4,13,"LED-240-S00-30"
"7",4,10,"LED-240-S00-27"
"8",3,9,"LED-203-30"
"9",1,8,"LED-204-S00-2722"
"10",2,7,"LED-203-35"
"11",1,5,"LED-203-27-HI"
"12",2,4,"LED-275-S00-2722"
"13",2,3,"LED-204-H00-3022"
"14",1,3,"LED-275-H00-2722"
"15",1,3,"LED-275-S70-3022"
"16",1,3,"LED-307-H00-35"
"17",2,2,"LED-204-H00-2722"
"18",1,2,"LED-219-S00-6022"
"19",1,2,"LED-273-S00-RGB30"
"20",1,1,"LED-275-S35-2722"
"21",1,1,"LED-293-S00-27"
"22",1,1,"LED-293-S00-30"
"23",1,1,"LED-307-S00-30"
"24",1,1,"LED-319-U00-27"
