# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost,,,,,,,,
3,45,LED-203-35,NANO/MINI,11.7,12.5612,565.254,,3,45,LED-203-35,NANO/MINI,$11.70 ,$12.56 ,$565.25 
4,45,LED-240-S00-30,BEVELED 2.1,13.8,15.709,706.905,,4,45,LED-240-S00-30,BEVELED 2.1,$13.80 ,$15.71 ,$706.91 
5,36,LED-203-30,NANO/MINI,11.7,12.5612,452.2032,,5,36,LED-203-30,NANO/MINI,$11.70 ,$12.56 ,$452.20 
1,21,LED-274-S00-27,SLIVERLED,10.82,12.3426,259.1946,,1,21,LED-274-S00-27,SLIVERLED,$10.82 ,$12.34 ,$259.19 
2,17,LED-307-S00-30,BEVELED PRIMARY,2.8356,4.1327,70.2559,,2,17,LED-307-S00-30,BEVELED PRIMARY,$2.84 ,$4.13 ,$70.26 
1,15,LED-281-S00-3022,SLIVERLED WGD,11.55,13.1622,197.433,,1,15,LED-281-S00-3022,SLIVERLED WGD,$11.55 ,$13.16 ,$197.43 
1,15,LED-307-H00-30,BEVELED PRIMARY,2.8356,4.1327,61.9905,,1,15,LED-307-H00-30,BEVELED PRIMARY,$2.84 ,$4.13 ,$61.99 
4,11,LED-240-S00-35,BEVELED 2.1,13.8,15.709,172.799,,4,11,LED-240-S00-35,BEVELED 2.1,$13.80 ,$15.71 ,$172.80 
1,10,LED-213-S00-35,BEVELED BASIC,11.7,13.609,136.09,,1,10,LED-213-S00-35,BEVELED BASIC,$11.70 ,$13.61 ,$136.09 
3,10,LED-326-S00-35,BEVELED 2.2,9.9,11.809,118.09,,3,10,LED-326-S00-35,BEVELED 2.2,$9.90 ,$11.81 ,$118.09 
1,8,LED-213-S00-30,BEVELED BASIC,11.7,13.609,108.872,,1,8,LED-213-S00-30,BEVELED BASIC,$11.70 ,$13.61 ,$108.87 
2,6,LED-307-S00-35,BEVELED PRIMARY,2.8356,4.1327,24.7962,,2,6,LED-307-S00-35,BEVELED PRIMARY,$2.84 ,$4.13 ,$24.80 
1,5,LED-198-S70-2722,BEVELED 2.0 WGD,30.98,32.889,164.445,,1,5,LED-198-S70-2722,BEVELED 2.0 WGD,$30.98 ,$32.89 ,$164.45 
1,5,LED-234-S00-2722,BEVELED 5.0,58.25,61.0245,305.1225,,1,5,LED-234-S00-2722,BEVELED 5.0,$58.25 ,$61.02 ,$305.12 
2,5,LED-240-H00-27,BEVELED 2.1,13.8,15.709,78.545,,2,5,LED-240-H00-27,BEVELED 2.1,$13.80 ,$15.71 ,$78.55 
1,4,LED-219-S00-6022,BEVELED COLOR SELECT,20.1,20.725,82.9,,,,,,,,
1,4,LED-240-S00-40,BEVELED 2.1,13.8,15.709,62.836,,,,,,,,
1,3,LED-203-27,NANO/MINI,11.7,12.5612,37.6836,,,,,,,,
1,3,LED-326-S00-40,BEVELED 2.2,9.9,11.7893,35.3679,,,,,,,,
1,2,LED-281-H00-3022,SLIVERLED WGD,11.85,13.3726,26.7452,,,,,,,,
1,2,LED-313-H00-3022,BEVELED MINI WGD,25.3,25.925,51.85,,,,,,,,
2,2,LED-319-H00-30,BEVELED MINI,10.55,11.6139,23.2278,,,,,,,,
1,2,LED-319-U00-27,BEVELED MINI,10.55,11.9139,23.8278,,,,,,,,
1,2,LED-326-H00-30,BEVELED 2.2,9.9,11.809,23.618,,,,,,,,
1,1,LED-204-H00-3022,BEVELED WGD,14.43,15.2288,15.2288,,,,,,,,
1,1,LED-204-S00-3022,BEVELED WGD,14.43,15.1467,15.1467,,,,,,,,
1,1,LED-236-S00-27,BEVELED,41.09,41.821,41.821,,,,,,,,
1,1,LED-240-H01-35,BEVELED 2.1,13.8,15.709,15.709,,,,,,,,
1,1,LED-313-S00-2722,BEVELED MINI WGD,25.3,25.925,25.925,,,,,,,,
1,1,LED-313-S00-3522,BEVELED MINI WGD,25.3,25.925,25.925,,,,,,,,
1,1,LED-319-H00-35,BEVELED MINI,10.25,11.6139,11.6139,,,,,,,,
1,1,LED-326-H00-35,BEVELED 2.2,9.9,11.809,11.809,,,,,,,,
1,1,LED-326-S00-30,BEVELED 2.2,9.9,11.809,11.809,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,287,,,,,"$3,965.04 ",,,,,,,,
