,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost,
1,1,25,E2-707,2,14.56,25.64,$641.000,
2,5,20,E2-526,2,15.72,28.6,$572.000,
3,1,17,E2-767,2,15.6,30.18,$513.060,
4,1,15,E2-526,2,15.72,21.22,$318.300,
5,1,15,E2-526,2,15.72,24.78,$371.700,
6,1,11,E2-709,6F,13.25,23.27,$255.970,
7,1,10,E2-887,22,12.19,16.13,$161.300,
8,2,9,E2-404,2,12.3,17.95,$161.550,
9,1,8,E2-527,2,14.31,23.09,$184.720,
10,1,8,E2-877,22,11.99,21.56,$172.480,
11,1,7,E2-283,2,14.57,21.14,$147.980,
12,1,7,E2-515,6A,23,34.08,$238.560,
13,4,6,E2-907,6E,13.25,23.01,$138.060,
14,1,6,E2-926,4P,51,60.84,$365.040,
15,1,5,E2-527,2,14.31,18.08,$90.400,
16,1,5,E2-702,6E,13.91,26.69,$133.450,
17,1,5,E2-736,6E,15,54.82,$274.100,
18,1,4,E2-526,2,15.72,22.36,$89.440,
19,3,4,E2-906,6E,13.25,23.08,$92.320,
20,1,3,E2-721,19,17.83,22.18,$66.540,
21,2,3,E2-721,19,18.96,29.01,$87.030,
22,2,3,E2-887,22,12.19,20.64,$61.920,
23,2,3,E2-906,6E,13.25,26.34,$79.020,
24,2,2,E2-783,6E,15,27.61,$55.220,
25,1,2,E2-804,21,6.32,15.93,$31.860,
26,1,2,E2-901,6A,23,33.18,$66.360,
27,1,1,E2-283,2,14.57,26.67,$26.670,
28,1,1,E2-404,2,12.3,24.4,$24.400,
29,1,1,E2-516,6A,23,36.72,$36.720,
30,1,1,E2-526,2,15.72,25.81,$25.810,
31,1,1,E2-526,2,15.72,27.37,$27.370,
32,1,1,E2-527,2,14.31,20.57,$20.570,
33,1,1,E2-567,2,17.72,50.99,$50.990,
34,1,1,E2-702,6E,13.25,22.82,$22.820,
35,1,1,E2-732,6E,15,24,$24.000,
36,1,1,E2-877,22,11.99,20.43,$20.430,
37,1,1,E2-885,4E,35.19,42.3,$42.300,
38,1,1,E2-887,22,12.19,22.41,$22.410,
39,1,1,E2-906,6E,13.25,23.01,$23.010,
40,1,1,E2-906,6E,13.91,17.89,$17.890,
41,1,1,E2-909,6E,15,28.15,$28.150,
42,1,1,E2-909,6E,15.75,25.67,$25.670,
43,1,1,E2-989,28,24.75,48.54,$48.540,
,,,,,,,,
,,,,,,,,
,222,,,,,,5857.13,
