"","# of RMAs","Qty","E2"
"1",6,68,"E2-526"
"2",1,35,"E2-877"
"3",6,24,"E2-404"
"4",5,17,"E2-527"
"5",2,7,"E2-783"
"6",1,6,"E2-389"
"7",3,5,"E2-906"
"8",2,5,"E2-907"
"9",2,4,"E2-388"
"10",2,3,"E2-417"
"11",1,3,"E2-419"
"12",1,3,"E2-468"
"13",2,3,"E2-925"
"14",1,2,"E2-283"
"15",2,2,"E2-454"
"16",1,2,"E2-531"
"17",1,2,"E2-649"
"18",1,2,"E2-901"
"19",1,2,"E2-908"
"20",1,1,"E2-290"
"21",1,1,"E2-418"
"22",1,1,"E2-469"
"23",1,1,"E2-486"
"24",1,1,"E2-492"
"25",1,1,"E2-702"
"26",1,1,"E2-721"
"27",1,1,"E2-739"
"28",1,1,"E2-774"
"29",1,1,"E2-804"
"30",1,1,"E2-887"
"31",1,1,"E2-890"
