"","# of RMAs","Qty","LED"
"1",5,116,"LED-203-27-HI"
"2",15,59,NA
"3",3,56,"LED-240-S00-35"
"4",9,48,"LED-203-30"
"5",1,45,"LED-213-S00-35"
"6",1,35,"LED-319-H00-30"
"7",4,16,"LED-240-S00-40"
"8",3,10,"LED-203-35"
"9",3,10,"LED-240-S00-30"
"10",2,5,"LED-203-27"
"11",2,4,"LED-203-30-HI"
"12",1,3,"LED-307-S00-35"
"13",1,2,"LED-212-S00-6022"
"14",1,1,"LED-204-S00-3522"
"15",1,1,"LED-240-H00-30"
"16",1,1,"LED-307-S00-30"
"17",1,1,"LED-313-S00-3022"
"18",1,1,"LED-326-S00-30"
"19",1,1,"LED-336-S00-RGB30"
