,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost
1,4,21,E2-527,2,$14.31,$18.08,$379.68
2,1,12,E2-702,6E,$13.25,$40.09,$481.08
3,2,12,E2-907,6E,$13.25,$23.01,$276.12
4,1,10,E2-417,2,$17.65,$40.29,$402.90
5,1,9,E2-418,3,$45.39,$54.45,$490.02
6,1,8,E2-389,2,$14.21,$23.27,$186.16
7,3,7,E2-906,6E,$13.25,$23.08,$161.56
8,1,6,E2-907,6E,$13.25,$25.71,$154.26
9,1,5,E2-733,6F,$16.50,$30.11,$150.55
10,1,4,E2-404,2,$12.30,$24.60,$98.40
11,2,4,E2-526,2,$15.72,$28.60,$114.40
12,1,4,E2-610,1M,$40.00,$47.40,$189.60
13,1,4,E2-929,4H,$45.39,$62.96,$251.84
14,1,3,E2-491,4,$50.75,$58.02,$174.07
15,1,3,E2-526,2,$15.72,$25.81,$77.43
16,2,3,E2-721,19,$18.96,$29.59,$88.77
17,1,3,E2-736,6E,$15.00,$54.82,$164.45
18,1,3,E2-877,22,$11.99,$20.43,$61.29
19,1,3,E2-887,22,$12.19,$22.41,$67.23
20,1,2,E2-283,2,$14.57,$24.50,$49.00
21,1,2,E2-906,6E,$13.25,$26.34,$52.68
22,1,1,E2-283,2,$14.57,$21.14,$21.14
23,1,1,E2-527,2,$14.31,$23.09,$23.09
24,1,1,E2-534,6B,$24.15,$30.65,$30.65
25,1,1,E2-721,19,$17.83,$24.99,$24.99
26,1,1,E2-732,6E,$15.00,$24.00,$24.00
27,1,1,E2-735,19,$18.96,$28.23,$28.23
28,1,1,E2-735,19,$18.96,$23.31,$23.31
29,1,1,E2-783,6E,$15.00,$27.61,$27.61
30,1,1,E2-796,SP,$749.08,$782.69,$782.69
31,1,1,E2-877,22,$11.99,$21.56,$21.56
32,1,1,E2-887,22,$12.19,$20.64,$20.64
33,1,1,E2-906,6E,$13.25,$23.43,$23.43
34,1,1,E2-907,6E,$13.25,$23.35,$23.35
35,1,1,E2-988,28,$24.75,$49.74,$49.74
