Engines,,,,,,
Month,2020,,2021,,? Qty,? Cost
,Qty,Cost,Qty ,Cost,,
January,506,"$7,711.87 ",280,"$3,988.84 ",-226,"($3,723.03)"
February,618,"$9,198.96 ",198,"$3,160.05 ",-420,"($6,038.91)"
March,347,"$5,361.28 ",437,"$6,076.80 ",90,$715.52 
April,235,"$3,646.46 ",302,"$3,788.79 ",67,$142.33 
May,277,"$4,069.89 ",188,"$2,416.49 ",-89,"($1,653.40)"
June,362,"$5,699.46 ",3229,"$42,216.63 ",2867,"$36,517.17 "
July,190,"$2,610.90 ",334,"$4,489.06 ",144,"$1,878.16 "
August,383,"$5,519.02 ",217,"$3,061.25 ",-166,"($2,457.77)"
September,415,"$5,992.95 ",310,"$4,639.89 ",-105,"($1,353.06)"
October,243,"$3,712.59 ",0,$0.00 ,0,$0.00 
November,220,"$3,155.64 ",0,$0.00 ,0,$0.00 
December,910,"$5,914.34 ",0,$0.00 ,0,$0.00 
