,Date,orig_SO,ShipDate,Specifier,Customer,Job_Name,Summary,Product_Family,Qty,Qty_On_Order,Prob_Part,Replaced,Repl_SO,RMA,Comments,Code
1,2/27/2020,SO97767,,NA,CRESCENT ELECTRIC - PORTLAND,NW NATURAL GAS,  REPORTED FIXTURE WILL not illuminate ,NANO/MINI,1,,LEM-203-00-35KS,,,RMA13690,,ELECTRICAL
2,2/27/2020,SO76644,,LOOP LIGHTING,CANTLON,39 WEST 10TH LLC, REPORTED LIGHT ENGINE COLOR PROBLEM ,BEVELED WGD,3,,LEM-204-00-2722KS,,,RMA13688,,ELECTRICAL
3,2/27/2020,SO57836,,"JAMES M STOCKMAN ASTC, MEISNA (OOT) ",SONEPAR/NORTHEAST ELECTRIC & EAGLE,DELAMAR HOTEL ,  REPORTED DEFECTIVE ,BEVELED 2.1,3,,LEM-240-00-27KS,,,RMA13687,,ELECTRICAL
4,2/27/2020,SO76765,,CONSOLIDATED ARCHITECTS,WALTERS WHOLESALE ELECTRIC CO. - LOS ANGELES,1138 HILLCREST AVENUE - COPIED PHASE Q37761,  REPORTED LED'S NOT WORKING ,BEVELED WGD,4,,LEM-204-00-3022KH,,,RMA13686,,ELECTRICAL
5,2/26/2020,SO87841,,C3 ARCHTECT & DESIGN,LOUIS SHIFFMAN,416 WASHINGTON ST,  REPORTED LIGHT ENGINE COLOR TEMPERATURE CHANGED ,NANO/MINI,1,,LEM-203-00-30KS,,,RMA13679,,ELECTRICAL
6,2/26/2020,SO89047,,EDWARD I. MILLS & ASSOCIATES,Y&B LIGHTING & ELECTRIC SUPPLY,MELHN RESIDENCE,  REPORTED FIXTURE FAILED ON INSTALL ,BEVELED,1,,LEM-218-00-30KS,,,RMA13674,,ELECTRICAL
7,2/25/2020,SO95387,,COMMUNE,WIEDENBACH BROWN - YORBA LINDA,7TH ST STUDIO, REPORTED DEFECTIVE ,NANO/MINI,2,,LEM-203-00-30KH,,,RMA13672,,ELECTRICAL
8,2/25/2020,,,NA,CANTLON,NA,REPORTED NOT LIGHTING UP,BEVELED WGD,1,,LEM-204-00-3022KS,,,RMA13667,,ELECTRICAL
9,2/24/2020,,,NA,CED-DENVER,NA,  REPORTED DEFECTIVE ,NANO/MINI,1,,LEM-203-00-35KS,,,RMA13662,,ELECTRICAL
10,2/24/2020,,,NA,NORDSTROM,NA,  REPORTED DEFECTIVE ,BEVELED 2.1,3,,LEM-240-00-30KH,,,RMA13661,,ELECTRICAL
11,2/24/2020,,,NA,NORDSTROM,NA,  REPORTED DEFECTIVE ,BEVELED 2.1,7,,LEM-240-00-27KH,,,RMA13661,,ELECTRICAL
12,2/21/2020,SO49153,,NA,HED SOUTH,PARAKET RESIDENCE,  REPORTED 6 FIXTURES NOT WORKING ,NANO/MINI,6,,LEM-203-00-30KS,,,RMA13659,,ELECTRICAL
13,2/21/2020,,,NA,SONEPAR/CRAWFORD ELECTRIC SUPPLY,NA,REPORTED NOT LIGHTING UP,BEVELED 2.1,1,,LEM-240-00-35KS,,,RMA13658,,ELECTRICAL
14,2/21/2020,,,NA,CED - SAN ANTONIO,NA,  REPORTED (1) bad D1 on this order. Not sure if it is the driver or the LED. ,BEVELED MINI,1,,LEM-319-00-30KH,,,RMA13656,,ELECTRICAL
15,2/21/2020,SO91360,,WOLCOTT,TURTLE & HUGHES-LINDEN,PROVDENT FINANCIAL 13TH FLR,  REPORTED DEFECTIVE ,BEVELED BASIC,1,,LEM-213-00-30KS,,,RMA13655,,ELECTRICAL
