Item ID,Rev Level,Item Name
LED-100,A,LIGHT ENGINE - TITAN TURBO TRUE COLOR NT-54D2-0509 SBX/SCX
LED-181-H10-27,B,(7) XML 10 DEG LIGHT ENGINE 1.0A HIGH CRI 2700K
LED-181-H10-30,B,(7) XML 10 DEG LIGHT ENGINE 1.0A HIGH CRI 3000K
LED-181-H10-35,B,(7) XML 10 DEG LIGHT ENGINE 1.0A HIGH CRI 3500K
LED-181-H10-40,B,(7) XML 10 DEG LIGHT ENGINE 1.0A HIGH CRI 4000K
LED-181-H10-50,B,(7) XML 10 DEG LIGHT ENGINE 1.0A HIGH CRI 5000K
LED-181-H14-27,B,(7) XML 10 DEG LIGHT ENGINE 1.4A HIGH CRI 2700K
LED-181-H14-30,B,(7) XML 10 DEG LIGHT ENGINE 1.4A HIGH CRI 3000K
LED-181-H14-35,B,(7) XML 10 DEG LIGHT ENGINE 1.4A HIGH CRI 3500K
LED-181-H14-40,B,(7) XML 10 DEG LIGHT ENGINE 1.4A HIGH CRI 4000K
LED-181-H14-50,B,(7) XML 10 DRG LIGHT ENGINE 1.4A HIGH CRI 5000K
LED-181-H50-27,A,(7) XML 10 DEG LIGHT ENGINE .5A HIGH CRI 2700K
LED-181-H50-30,A,(7) XML 10 DEG LIGHT ENGINE .5A HIGH CRI 3000K
LED-181-H70-27,B,(7) XML 10 DEG LIGHT ENGINE .7A HIGH CRI 2700K
LED-181-H70-30,B,(7) XML 10 DEG LIGHT ENGINE .7A HIGH CRI 3000K
LED-181-H70-35,B,(7) XML 10 DEG LIGHT ENGINE .7A HIGH CRI 3500K
LED-181-H70-40,B,(7) XML 10 DEG  LIGHT ENGINE .7A HIGH CRI 4000K
LED-181-H70-50,B,(7) XML 10 DEG LIGHT ENGINE .7A HIGH CRI 5000K
LED-181-S10-27,B,(7) XML 10 DEG LIGHT ENGINE 1.0A STD CRI 2700K
LED-181-S10-30,B,(7) XML 10 DEG LIGHT ENGINE 1.0A STD CRI 3000K
LED-181-S10-35,B,(7) XML 10 DEG LIGHT ENGINE 1.0A STD CRI 3500K
LED-181-S10-40,B,(7) XML 10 DEG LIGHT ENGINE 1.0A STD CRI 4000K
LED-181-S10-50,B,(7) XML 10 DEG LIGHT ENGINE 1.0A STD CRI 5000K
LED-181-S14-27,B,(7) XML 10 DEG LIGHT ENGINE 1.4A STD CRI 2700K
LED-181-S14-30,B,(7) XML 10 DEG LIGHT ENGINE 1.4A STD CRI 3000K
LED-181-S14-35,B,(7) XML 10 DEG LIGHT ENGINE 1.4A STD CRI 3500K
LED-181-S14-40,B,(7) XML 10 DEG LIGHT ENGINE 1.4A STD CRI 4000K
LED-181-S14-50,B,(7) XML 10 DRG LIGHT ENGINE 1.4A STD CRI 5000K
LED-181-S50-27,A,(7) XML 10 DEG LIGHT ENGINE .5A STD CRI 2700K
LED-181-S50-30,A,(7) XML 10 DEG LIGHT ENGINE .5A STD CRI 3000K
LED-181-S50-35,A,(7) XML 10 DEG LIGHT ENGINE .5A STD CRI 3500K
LED-181-S50-40,A,(7) XML 10 DEG LIGHT ENGINE .5A STD CRI 4000K
LED-181-S50-50,A,(7) XML 10 DEG LIGHT ENGINE .5A STD CRI 5000K
LED-181-S70-27,B,(7) XML 10 DEG LIGHT ENGINE .7A STD CRI 2700K
LED-181-S70-30,B,(7) XML 10 DEG LIGHT ENGINE .7A STD CRI 3000K
LED-181-S70-35,B,(7) XML 10 DEG LIGHT ENGINE .7A STD CRI 3500K
LED-181-S70-40,B,(7) XML 10 DEG  LIGHT ENGINE .7A STD CRI 4000K
LED-181-S70-50,B,(7) XML 10 DEG LIGHT ENGINE .7A STD CRI 5000K
LED-182-H10-27,C,7XML LIGHT ENGINE 1.0A HIGH CRI 2700K
LED-182-H10-30,C,7XML LIGHT ENGINE 1.0A HIGH CRI 3000K
LED-182-H14-27,C,7XML LIGHT ENGINE 1.4A HIGH CRI 2700K
LED-182-H14-30,C,7XML LIGHT ENGINE 1.4A HIGH CRI 3000K
LED-182-H50-27,A,7XML LIGHT ENGINE .5A HIGH CRI 2700K
LED-182-H50-30,A,7XML LIGHT ENGINE .5A HIGH CRI 3000K
LED-182-H70-27,C,7XML LIGHT ENGINE .7A HIGH CRI 2700K
