LEM_Kit,LED,LEM_Acct_Val,LED_Acct_Val,LEM_Price
LEM-198-16-3022KH,LED-198-H35-3022,32.889,30.98,75
LEM-198-32-2722KH,LED-198-H70-2722,32.889,30.98,75
LEM-198-32-2722KS,LED-198-S70-2722,32.889,30.98,70
LEM-198-32-3022KS,LED-198-S70-3022,32.889,30.98,70
LEM-203-00-27KH,LED-203-27-HI,12.3874,11.7,35
LEM-203-00-27KS,LED-203-27,12.5612,11.7,30
LEM-203-00-30KH,LED-203-30-HI,12.3874,11.7,35
LEM-203-00-30KS,LED-203-30,12.5612,11.7,30
LEM-203-00-35KS,LED-203-35,12.5612,11.7,30
LEM-203-00-40KS,LED-203-40,12.5612,11.7,30
LEM-204-00-2722KH,LED-204-H00-2722,15.055,14.43,45
LEM-204-00-2722KS,LED-204-S00-2722,15.045,14.42,40
LEM-204-00-3022KH,LED-204-H00-3022,15.2288,14.43,45
LEM-204-00-3022KS,LED-204-S00-3022,15.1467,14.43,40
LEM-204-00-3522KS,LED-204-S00-3522,18.2667,17.55,40
LEM-212-00-6022KS,LED-212-S00-6022,23.409,21.5,75
LEM-213-00-27KS,LED-213-S00-27,13.609,11.7,30
LEM-213-00-30KS,LED-213-S00-30,13.609,11.7,30
LEM-213-00-35KS,LED-213-S00-35,13.609,11.7,30
LEM-213-00-40KS,LED-213-S00-40,13.609,11.7,30
LEM-218-00-30KS,LED-218-S00-30,42.3491,39.85,90
LEM-218-00-35KS,LED-218-S00-35,42.3491,39.85,90
LEM-219-00-6022KS,LED-219-S00-6022,20.725,20.1,60
LEM-230-16-30KS,LED-230-S01-30,26.599,24.69,55
LEM-230-33-27KH,LED-230-H02-27,26.599,24.69,60
LEM-230-33-27KS,LED-230-S02-27,26.599,24.69,55
LEM-230-33-30KS,LED-230-S02-30,26.599,24.69,55
LEM-234-00-3022KS,LED-234-S00-3022,70.4991,68,135
LEM-236-00-30KS,LED-236-S00-30,41.8081,41.09,90
LEM-236-00-35KS,LED-236-S00-35,41.8081,41.09,90
LEM-239-00-27KH,LED-239-H00-27,15.6265,13.8,45
LEM-239-00-27KS,LED-239-S00-27,15.6265,13.8,40
LEM-239-00-30KS,LED-239-S00-30,15.6265,13.8,40
LEM-239-00-35KS,LED-239-S00-35,15.6265,13.8,40
LEM-239-00-40KS,LED-239-S00-40,15.6265,13.8,40
LEM-240-00-27KH,LED-240-H00-27,15.709,13.8,45
LEM-240-00-27KS,LED-240-S00-27,15.709,13.8,40
LEM-240-00-30KH,LED-240-H00-30,15.709,13.8,45
LEM-240-00-30KS,LED-240-S00-30,15.709,13.8,40
LEM-240-00-35KH,LED-240-H01-35,15.709,13.8,45
LEM-240-00-35KS,LED-240-S00-35,15.709,13.8,40
LEM-240-00-40KS,LED-240-S00-40,15.709,13.8,40
