,SP_Kit,E2,SP_Acct_Val,E2_Acct_Val,SP_Price
1,SP-026-0700,E2-290,16.51,11.17,40
2,SP-032-0350-2,E2-526,27.36,15.72,52
4,SP-033-0350-2,E2-526,27.37,15.72,49
5,SP-033-0350-6E,E2-701,29.64,13.25,49
7,SP-033-0500-2,E2-404,24.6,12.3,45
8,SP-033-0500-2-EML,E2-404,24.45,12.3,50
9,SP-033-0500-3,E2-468,55.58,45.39,109
10,SP-033-0500-4,E2-469,77.1,66.3,135
11,SP-033-0500-6B,E2-532,39.39,23,99
12,SP-033-0500-6E,E2-698,29.64,13.25,45
14,SP-033-0500-6F,E2-709,30.04,13.25,56
15,SP-034-0500-2-EML,E2-404,19.42,12.3,38
16,SP-034-0500-8,E2-472,60.22,41,155
17,SP-034-0700-EML,E2-290,18.37,11.17,38
18,SP-034-0900-2,E2-552,26.73,17.65,55
19,SP-034-0900-2-EML,E2-552,26.8,17.65,47
20,SP-034-1000,E2-335,18.6,12.39,41
21,SP-034-1000-2,E2-388,19.24,12.67,43
22,SP-034-1400-2,E2-389,24.9119,14.2086,60
23,SP-034-1400-3,E2-387,54.61,45.39,122
24,SP-034-1400-4,E2-352,60.17,50.75,133
25,SP-044-0350-2,E2-284,31.47,23.46,66
26,SP-044-0350-6E,E2-701,24.93,13.25,48
27,SP-044-0500-4,E2-469,73.61,66.3,131
28,SP-044-0500-6A,E2-516,34.79,23,38
29,SP-044-0500-6F,E2-709,24.64,13.25,38
30,SP-044-0500-7,E2-520,38.39,26.5,94
31,SP-050-1000-4,E2-351,57.84,50.75,128
32,SP-059-0350-3-MOD1,E2-454,52.74,45.39,143
33,SP-059-0350-7,E2-476,61.34,44.52,143
34,SP-059-0700-2,E2-417,27.4379,17.646,54
35,SP-059-0700-3,E2-418,52.55,45.39,116
36,SP-059-0700-4,E2-419,63.09,53.55,136
37,SP-059-0700-6A,E2-517,36.24,23,98
41,SP-059-0700-6E,E2-702,26.69,13.91,57
42,SP-059-0700-7,E2-520,38.1,26.5,143
43,SP-059-0700-8,E2-473,63.13,41,143
44,SP-060-0700-4,E2-419,60.65,53.55,135
45,SP-060-0700-7,E2-520,38.71,26.5,90
46,SP-060-0700-8,E2-473,53.09,41,120
47,SP-062-0350-15,E2-633,27.64,20.74,59
48,SP-062-0350-2,E2-526,21.37,15.72,46
49,SP-062-0350-2-EML,E2-526,21.2,15.72,46
50,SP-062-0350-6E,E2-701,21.38,13.25,45
51,SP-062-0350-7,E2-520,33.18,26.5,72
52,SP-062-0350-9,E2-401,23.79,18.55,49
53,SP-062-0500-19,E2-721,24.71,18.96,48
54,SP-062-0500-2,E2-404,17.95,12.3,38
55,SP-062-0500-2-EML,E2-404,18.11,12.3,37
56,SP-062-0500-3,E2-468,51.7987,45.39,114
57,SP-062-0500-4,E2-469,73.32,66.3,127
58,SP-062-0500-4H,E2-697,57.87,51,115
59,SP-062-0500-6F,E2-709,21.3,13.25,44
60,SP-064-0350-10,E2-402,25.22,18.55,54
