Sales.Order.ID,Specifier.User.Def.3,Job.Name.User.Def.5
SO100000,NA,HARPETH SQUARE HOTEL ADD
SO100001,NA,TEMPORARY LODGING
SO100002,TIRSCHWELL & COMPANY,460 W 34TH ST
SO100003,BRAIN ORTER LIGHTING DESIGN,KIRKLAND & ELLIS 47 FLR/QUOTE 39870
SO100005,THE SEED LIGHTING,FISCHL ARTIST CENTER
SO100006,DESIGN BUILD,HILAL RESIDENCE/QUOTE 47957
SO100007,SYSKA HENNESSY,KRAMER LEVIN NAFTALIS FRANKEL
SO100008,NA,SIGNATURE BANK
SO100009,HLB,FOUR SEASONS - ONE DALTON/QUOTE 27628
SO100010,NA,NA
SO100011,LOOP LIGHTING,NBA RESTACK 645 5TH AVE
SO100012,NA,EAST VILLAGE
SO100013,PLANNING DESIGN RESEARCH,HOUSTON CENTER BUILDINGS
SO100014,HLB,SLACK TECHNOLOGIES TI/QUOTE 41986
SO100015,NA,NA
SO100016,NA,NA
SO100017,NA,NA
SO100019,KAPLAN GEHRING MCCARROLL (OOT),ALYS BEACH TOWN CENTER /Q44473 & 48238
SO100020,NA,NA
SO100021,NA,NA
SO100022,NA,NA
SO100023,NA,NA
SO100024,NA,NA
SO100025,NA,NA
SO100026,NA,AMY'S DRIVE THRU
SO100027,NA,NA
SO100028,NA,JACOBS GOTTESDIENER RESIDENCE
SO100029,NA,120 DAL WAREHOUSE
SO100030,NA,PALIMPSEST HOUSE
SO100032,LUMA LIGHTING,FACEBOOK FARM FRE /Q40203
SO100033,NA,NA
SO100034,NA,NA
SO100035,NA,MARRIOTT HOTEL
SO100037,NA,CCJC RENO/SQ6
SO100038,NA,NA
SO100040,NA,UVA TC4 FITNESS CENTER
SO100041,NA,HDZ
SO100042,NA,GATINEAU PRIJECT
SO100043,NA,NA
SO100044,NA,COACH HOUSE SALES CENTER
SO100046,CD + M (OOT),OLD CHICAGO POST OFFICE
SO100047,EHDD,UCB GIANNINI HALL 
SO100048,CM KLING (OOT),LAS VEGAS CONVENTION CENTER-QT47461 
SO100049,FISHER MARANTZ STONE (OOT),PAUL HASTINGS DC/QUOTE 47951
SO100050,GENSLER,FREDDIE MAC HQ1 CONF
SO100051,NA,MAISON DES JEUNES BLAINVILLE
SO100052,BRIAN ORTER LIGHTING DESIGN,EQUINOX WEST HOLLYWOOD
SO100053,NA,C A AUDIOVISUAL CONTRACTORS - QUOTE
SO100054,NA,160 W 86
SO100055,NA,NA
SO100056,NA,944 SOUTH OCEAN
SO100057,NA,BYTEDANCE
SO100058,BENSON HLAVATY ARCHITECTS,GUIDON ENERGY - DESIGN BUILD
SO100059,NA,NA
SO100060,NA,MUSEUM CENTER ICE CAVE
SO100062,NA,NA
SO100063,NA,LIGHTWORKS CHELSEA SAVANT/ Q48681
SO100064,NA,NA
SO100065,LUCIA LIGHTING & DESIGN,60 TUPELO ROAD - SWAMPSCOTT /Q46336
SO100066,NA,NA
SO100067,*SS,OLIVER & CENTRAL 
SO100068,NA,131 DARTMOUTH 
SO100069,NA,NA
SO100070,TPG ARCHITECTURE,CHARLES RIVER
SO100071,L'OBSERVATOIRE (OOT),SURF CLUB RESTAURANT /Q46733
SO100072,STANTEC,STANTEC
SO100073,NA,NA
SO100074,NA,MAHZO
SO100075,NA,BONHAMS - 601 CAL - SUITE 150
SO100076,MITCHELL ASSOCIATES,THE MARY CAMPBELL CENTER
SO100077,NA,NA
SO100078,NA,NA
SO100079,NA,REI
SO100080,NA,NORTH PARK TRUNK CLUB
