Date,orig_SO,ShipDate,Specifier,Customer,Job_Name,Summary,Product_Family,Qty,Qty_On_Order,Prob_Part,Replaced,Repl_SO,RMA,Comments,code
3/19/2020,SO75994,5/10/2018,HIVE ARCHITECTS,GRAYBAR ELECTRIC-ST LOUIS,PALIMPSEST HOUSE,REPORTED STILL NOT LIGHITNG UP,MICRO,2,34,MDL02-08H1-30KH-50-WH-TRM,MDL02-08H1-30KH-50-WH-TRM,SO103495 ,RMA13815,,ELE
3/19/2020,SO87347,3/8/2019,NA,BARROW ELECTRICAL AND LIGHTING SUPPLY,THE HILLS CHURCH, replacement driver and that didn’t fix the issue will replace LED ,LED,1,13,LEM-240-00-40KS,LEM-240-00-40KS,SO102507,RMA13814,,ELE
3/19/2020,SO87347,3/8/2019,NA,BARROW ELECTRICAL AND LIGHTING SUPPLY,THE HILLS CHURCH, replacement driver and that didn’t fix the issue will replace LED ,SERVICE PARTS,1,13,SP-241-0500-2,SP-241-0500-2,SO102507,RMA13814,,ELE
3/19/2020,SO102384,3/13/2020,NA,CHELSEA LIGHTING,NA,  REPORTED DEFECTIVE ,LED,5,35,LEM-319-00-30KS,LEM-319-00-30KS,SO103488,RMA13813,,ELE
3/19/2020,SO84654,1/18/2019,KGM,SONEPAR/EOFF ELECTRIC,2ND  + PCH, REPORTED DISCOLORED LED'S ,LED,13,18,LEM-203-00-40KS,LEM-203-00-40KS,SO103486,RMA13812,,ELE
3/19/2020,SO89109,5/10/2019,HOK (OOT),TURTLE & HUGHES - NEW YORK CITY,LAGUARDIA AIRPORT/QUOTE 43367,  REPORTED  the circuit board came off ,LED,3,138,LEM-218-00-35KS,LEM-218-00-35KS,SO103484,RMA13811,,ELE
3/19/2020,SO91395,8/30/2019,TPG ARCHITECTURE,CHELSEA LIGHTING,NATIONAL HOCKEY LEAGUE/QUOTE 44043,REPORTED NOT LIGHTING UP,SERVICE PARTS,3,1158,SP-318-0700-6E,SP-318-0700-6E,SO103190 ,RMA13810,,ELE
3/19/2020,SO60988,3/10/2017,"CROSS DESIGN GROUP/ SPEC#2MERRILL, PASTOR & COLGAN ARCHITECTS ",CED-VERO BEACH,STEPHAN RESIDENCE ,  REPORTED DEFECTIVE ,SERVICE PARTS,1,84,SP-189-0350-3,SP-189-0350-3,SO103472,RMA13809,,ELE
3/18/2020,SO50062,3/18/2016,STG DESIGN,CED - NUNN/AUSTIN,APPLE CAPITAL RIDGE PHASE 1,  REPORTED 7 FIXTURES NOT WORKING ,LED,7,344,LEM-240-00-35KS,LEM-240-00-35KS,SO103432,RMA13806,,ELE
3/18/2020,SO88245,4/5/2019,WARE & MALCOMB,REXEL - SAN JOSE,TRINET PLEASANTON,  REPORTED DEFECTIVE ,LED,9,35,LEM-203-00-30KS,LEM-203-00-30KS,SO103427,RMA13805,,ELE
3/18/2020,SO88245,4/5/2019,WARE & MALCOMB,REXEL - SAN JOSE,TRINET PLEASANTON,  REPORTED DEFECTIVE ,SERVICE PARTS,1,35,SP-160-0500-2,SP-160-0500-2,SO103427,RMA13805,,ELE
3/17/2020,SO72572,2/9/2018,DAVID MANN ARCHITECT,KRELL LIGHTING,DR SECKIN OFFICE, LED Engines have failed and no longer illuminate ,LED,2,51,LEM-203-00-30KS,LEM-203-00-30KS,SO103395,RMA13803,,ELE
